Ticker|Name|Exchange|Country
PSRW.SW|PowerShares FTSE RAFI All-World 3000 ETF|ISE|UK
IPRV.AS|ISHS LIS PRI EQ USD|AMS|Netherlands
IWQU.L|iShares MSCI World Quality Factor|ISE|UK
EXI6.DU|ISHSSTXNA600REC|DUS|Germany
LYYW.DE|Lyxor UCITS ETF Stoxx Europe 600 Technology|GER|Germany
EXHE.SG|ISHS PFBRFE DE|STU|Germany
TLEH|FlexShares Ccy Hdgd MS EM Fct TiltIdx|PCX|USA
PVX.MI|L UC ETF PRIV D EUR|MIL|Italy
M9SZ.SG|RBS M A EFEXSA C|STU|Germany
RVNU.A||ASE|USA
82811.HK|Haitong CSI300 ETF|HKG|Hong Kong
SEKP.L|ETFS FOREIGN EXCHANGE LIMITED E|LSE|UK
1184047.BE|MPS CAPITAL VRN|BER|Germany
DXS8.F|DBXT SE600 BKSH 1C|FRA|Germany
IS0K.F|ISHS FR GOV BD G-CT|FRA|Germany
HRBND-57.TA|BSKT/HRL SAL S57|TLV|Israel
XSKR.MI|DBXT SE600 TEL 1C|MIL|Italy
ENY.BK|KTAM SET Energy ETF Tracker|SET|Thailand
89MR.L|CHAILEASE/HSBC BK18|LSE|UK
MHUU.L|Source J.P. Morgan Macro Hedge US TR ETF|LSE|UK
XX25.L|db x-trackers - FTSE China 50 UCITS ETF (DR)|LSE|UK
152180.KS|TIGER CONSUMER|KSC|Korea
BULL-BASMET-X3-H.|||
^EMDR|VelocityShares Emerging Markets|NIM|
XBAG.L|DB X-TRACKERS II DB X-TRACKERS |LSE|UK
XBUT.L|DB X-TRACKERS II DBX IBOXX GBP |LSE|UK
CEMT.SG|ISH EU SIZE EUR-AC|STU|Germany
BULL-SILVER-X4-S.ST|SI/SEB 22 NTS|STO|Sweden
FXSG|CurrencyShares Singapore Dollar ETF|PCX|USA
IPO|Renaissance IPO ETF|PCX|USA
EUNK.SG|ISHS MSCI EUR-ACC|STU|Germany
42GO.L|PHDC/HSBC BK 17|LSE|UK
TRSY.L|SPDR® Barclays US Treasury Bond ETF|ISE|UK
DX2U.DU|DBX JAP5 S 1C|DUS|Germany
MBTI-T15.TA|TCH15/PSG IND S15|TLV|Israel
XSHJ.L|db x-trackers - S&P; JAPAN 500 SHARIAH UCITS ETF|LSE|UK
EXXY.HM|ISH DVCMSP T|HAM|Germany
ZAG.TO|BMO Aggregate Bond ETF|TOR|Canada
ASDX.L|RBS Market Access - DaxGlobal Asia Index UCITS ETF|LSE|UK
CSGLDC.SW|ISHS GD CHF HDG A|EBS|Austria
13635825.DU|UBS ETF MJI2035 AD|DUS|Germany
EUNL.DE|ISHS CR WD USD-AC|GER|Germany
BND.TO|Purpose Tactical Invt Grade Bond ETF|TOR|Canada
DBXR.MU|DBX SOV EUR 5-7 1C|MUN|Germany
XLE.MX|SEL SCT ENERGY|MEX|Mexico
IVE|iShares S&P; 500 Value|PCX|USA
EXHE.MU|ISHS PFBRFE DE|MUN|Germany
25290594.MA|BSKT/EMISORA SAN 19|MAD|Spain
RJI|ELEMENTS Rogers Intl Cmdty TR ETN|PCX|USA
SYBJ.HM|SPDR BAR EUR HG EUR|HAM|Germany
22374953.SW|UBS AUS AUD-A-ACC|EBS|Austria
PXS-U.TO|PWRSHR FTSE RAFI US FDAMNTL ETF|TOR|Canada
EUN9.F|ISHS EUR GOV B G-CT|FRA|Germany
DBPU.F|DBXT MSCI W TS 1C|FRA|Germany
10711757.SW|LYX UCITS W GOVT BD|EBS|Austria
JP40.SG|AM ETF JPX-N400 EUR|STU|Germany
RHI.TO|RBC Quant EAFE Div Ldrs(CAD Hedged) ETF|TOR|Canada
LYYK.MU|L UC ETF E600 TELEC|MUN|Germany
CSH.MC|L UC ETF EURO CASH|MCE|Spain
XEYR.F|R1000 T E UC ETF EU|FRA|Germany
18MM.F|AM P EX JAP ETF EUR|FRA|Germany
IWFS.L|iShares MSCI World Size Factor|LSE|UK
IBB|iShares Nasdaq Biotechnology|NGM|Sweden
IBCS.F|ISH EU CO BN L G-CT|FRA|Germany
VUG.MX|VANGRD GROWTH |MEX|Mexico
VG78.BE|VA FTSE JAP ETF USD|BER|Germany
VE4D.BE|MV MORT REIT INC|BER|Germany
29088716.IR|BMO MSCI UK INC GBP|ISE|UK
XDPE.DE|db x-trackers S&P; 500 (DR) 1C ? Hg|ISE|UK
MJP.BK|Maybank Japan ETF|SET|Thailand
JKI|iShares Morningstar Mid-Cap Value|PCX|USA
XTXC.MI|DBX I CROS1C|MIL|Italy
IEMM.AS|ISHS MSCI EM MK USD|AMS|Netherlands
JJG.A||ASE|USA
H4ZV.SG|HSBC MSCI MALA G-CT|STU|Germany
^INSYBUP|SPDR Barclays US Aggregate Bond|NIM|
10631087.DU|COMS PSI 20 LEV IC|DUS|Germany
PSM6-13.TA|TB60/PSAGOT BAS S13|TLV|Israel
16DF.L|RENAISSANCE/HSBC 15|LSE|UK
PHPM.AS|PHPM/ETFS|AMS|Netherlands
^INSPYJE|SPDR Dow Jones Global Real Esta|NIM|
E043.DE|COMS LDAX X2 IC|GER|Germany
LAUD.L|ETFS FOREIGN EXCHANGE LIMITED E|LSE|UK
2578650.SW|LYX UC ETF TURKEY|EBS|Austria
PYZ.A||ASE|USA
DXJS|WisdomTree Japan Hedged SmallCap Eq ETF|NGM|Sweden
LU36364122.HM|JB MULTIST.-EN.TRANS.A EO|HAM|Germany
HNDX.DU|A N-100 HEDGE ETF|DUS|Germany
CASGBH.SW|UBS ETF MC100HS AC|EBS|Austria
DI|PIMCO Diversified Income Active ETF|PCX|USA
HRUB.SW|HSBC MSCI Russia Capped ETF|ISE|UK
PSGT-233.TA|BASKT/PSAGOT S233|TLV|Israel
LYS0.DU|L UC ETF THAI C EUR|DUS|Germany
ACWIS.SW|UBS MSCI CHF-A-ACC|EBS|Austria
XD9U.SG|CFSDBX US USD-1C-AC|STU|Germany
CT5.PA|AM EUR TELEC UC ETF|PAR|France
VISO_GTM_1630.ST|UBS/VIS 19 |STO|Sweden
QTEC|First Trust NASDAQ-100-Tech Sector ETF|NGM|Sweden
USFRN.MI|Amundi ETF Floating Rate USD Corporate|MIL|Italy
TLL.A||ASE|USA
ZPDH.SG|SSGA S&P; HEA USD-AC|STU|Germany
M9SF.HM|RBS M A DGL A C|HAM|Germany
SMDV|ProShares Russell 2000 Dividend Growers|BTS|Thailand
EUNH.BE|ISHS CR EU GOV G-CT|BER|Germany
FAB.MX|FT MC VAL ALPHADEX|MEX|Mexico
OD5E.HM|SEB GELDMARKT EURO|HAM|Germany
JUNR.A||ASE|USA
DXSG.F|DBXT SE600 TEL 1C|FRA|Germany
19JV.L|POWER/HSBC 16|LSE|UK
TELEW.MI|MUL LY W TEL S C |MIL|Italy
X19164.TI|SG ISSUER 16 ELN|TLO|Italy
TOF.AS|TC TM OFF|AMS|Netherlands
LYPK.BE|LYX UCITS W GOVT BD|BER|Germany
C73.PA|A GR 7-10 UC ETF C|PAR|France
YTMBHP.AX|THETAASSET ACBCBHP17|ASX|Australia
SCHV|Schwab US Large-Cap Value ETF|PCX|USA
28778697.IR|MO WID MOA USD-A-AC|ISE|UK
H4ZE.DE|HSBC MSCI Europe ETF|GER|Germany
18M3.HM|AM EU BKS UCITS ETF|HAM|Germany
X015.SG|COMS M PAC XJAP IC|STU|Germany
XH7S.MU|DBX CDX NA HY S 1C|MUN|Germany
^DGLD|CREDIT SUISSE NASS|NIM|
BULL-BASMET-X3-H.ST|BASKET/SHB 21 NTS|STO|Sweden
TCDU-D1.TA|USD/TACHIND CD S1|TLV|Israel
1697252.BE|HSBC CAPITAL VRN|BER|Germany
1099420.BE|DEUTSCHE TEL 30 SRN|BER|Germany
LYY8.BE|MUL LY DLEVDAX|BER|Germany
VWRL.SW|Vanguard FTSE All-World ETF|EBS|Austria
MRAI.SW|RBS M A RICI A C|EBS|Austria
USVEUY.MI|UBS ETF (IE) MSCI USA Value|MIL|Italy
EXVM.DU|ISH ERMONEY MKT|DUS|Germany
538683.BO|R* Shares Sensex ETF|BSE|India
DX2Y.SG|DBXT DB HFI ETF 1C|STU|Germany
X011.HM|COMS M EU IC|HAM|Germany
WXOZ.AX|SPDR® S&P; World ex Australia ETF|ASX|Australia
TMKGL-36.TA|BSKT/TACHLIT CP S36|TLV|Israel
VNQ|Vanguard REIT ETF|PCX|USA
11824002.DU|HSBC S&P; 500 G-CT|DUS|Germany
JGBS.PA|L U ETF 10Y JA C US|PAR|France
XBO1.DE|DBXT2 MEBI BTP 1DD|GER|Germany
22608034.L|AGLTY/HSBC BANK 16|LSE|UK
SPYC.SG|SSGA MSCI ST EUR-AC|STU|Germany
BULLP.PA|BULL/ETFS|PAR|France
GLDI|Credit Suisse X-Links Gold Cov Call ETN|NGM|Sweden
TAUR-BTU.ST|TAURUS ENERGY I14|STO|Sweden
IS09.BE|ISHS GLB CRP BD USD|BER|Germany
X507.SW|COMS ILSD10-15 IC|EBS|Austria
EL4R.F|DK DB EUROGOV|FRA|Germany
NBF_GC69_A352B.ST|BSKT/NORDEA 19|STO|Sweden
STZX.SW|SPDR® MSCI Europe Financials ETF|EBS|Austria
RELCONS.NS|R*Shares Consumption ETF|NSI|India
VG7B.MU|VAN FTSE NRT AM USD|MUN|Germany
LYQY.SG|L UC ETF H YI 30 |STU|Germany
VAG3.BE|VN EM MK GV IX|BER|Germany
SYBK.DE|SPDR® Barclays 0-5 Year US Hi Yld Bd ETF|GER|Germany
IDV.MX|iShares Trust - iShares International Select Dividend ETF|MEX|Mexico
PMEM.LS|COMS MSCI EM IC|LIS|Portugal
LSTK|iPath Pure Beta Livestock ETN|PCX|USA
