Ticker|Name|Exchange|Country
^DJUBSZS1|Dow Jones-UBS Zinc Subindex 1 M|DJI|USA
KOSPI-14.KS|KOSPI Medical & Precision Machi|KSC|Korea
^NQEM3700LMJPYT|NASDAQ EM Psnl & Hhld Goods Lg |NIM|USA
^NQKR5000LMGBPT|NASDAQ Korea Cnsmr Svcs Lg Md C|NIM|USA
ENVEN.NX|EN VIGEO EU 120 NR|ENX|Europe
^NQDMXUS0001GBPN|NASDAQ DM Ex US Oil & Gas GBP N|NIM|USA
^NQKR7000|NASDAQ Korea Utilities Index|NIM|USA
^NQUSB3530LMCAD|NQ US  Beverages Large Mid Cap |NIM|USA
^NQUSM5330AUDT|NQ US Md Cap Food & Drug Rtlrs |NIM|USA
^NQLA1700JPY|NASDAQ Lat America Basic Resour|NIM|USA
^NQUSL7535EUR|NQ US Lg Cap Cnvtnl Eltrcty EUR|NIM|USA
PSEI.PS|PSEI|PHS|Philippines
^NQUSS5755N|NQ US Sm Cap Recreational Svcs |NIM|USA
INSEI.NX|MA SETXEUR INAV|ENX|Europe
^NQEM8600EURN|NASDAQ Emerging Real Estate EUR|NIM|USA
^NQUSB4000LM|NQ US  Health Care Large Mid Ca|NIM|USA
^NQIT0001|NASDAQ Italy Oil & Gas Index|NIM|USA
^NQKR7000GBPT|NASDAQ Korea Utilities GBP TR I|NIM|USA
INAPX.NX|LYXOR APX INAV|ENX|Europe
^NQUSS3500JPY|NQ US Sm Cap Food & Beverage JP|NIM|USA
NZRSC.NZ|S&P;/NZX REAL ESTATE SELECT INDE|NZE|New Zealand
^NG17.OS|Automotive|OSA|Japan
^SP1500-201020|S&P; Composite 1500 Building Pro|SNP|USA
^SPEUPTS|S&P; EUROPE 350 - Telecommunicat|SNP|USA
^NQDMASPA8700CADN|NASDAQ DM ASPA Financial Svcs C|NIM|USA
^NQDMXKRLCT|Nasdaq DM Ex Korea Large Cap TR|NIM|USA
^NQDMXKRLCJPYT|Nasdaq DM Ex Korea Large Cap JP|NIM|USA
19609596.SG|YOR ROY T UN TR USD|STU|Germany
^NQDMMEA8000LMGBPT|NASDAQ DM MEA Financials Lg Md |NIM|USA
^VSTRP|SPX Variance Strip Underlier Id|WCB|USA
^NQG0001LMN|NASDAQ Global Oil & Gas Large M|NIM|USA
^NQZA2000LM|NASDAQ South Africa Inds Large |NIM|USA
I:BCOMCLCT|Dow Jones-UBS WTI Crude Oil Sub|SNP|USA
^NQDM9000T|NASDAQ Developed Tech TR Index|NIM|USA
^NQSG5000AUDT|NASDAQ Singapore Cnsmr Svcs AUD|NIM|USA
I:BCOMCO1T|Dow Jones-UBS Brent Crude Subin|SNP|USA
WIZAF3000.L|FTSE ZAF-CYC CON GD|FSI|UK
13143006.SG|MORNNBCQUIND(TR)CAD|STU|Germany
^NQCA1000CAD|NASDAQ Canada Basic Matls CAD I|NIM|USA
^NQEMEA3300AUDN|NASDAQ EMEA Auto & Parts AUD NT|NIM|USA
^NQAU4000LMGBP|NASDAQ Australia Health Care Lg|NIM|USA
I:BCOMGB|Dow Jones-UBS Commodity Index P|SNP|USA
^NQCN0001CAD|NASDAQ China Oil & Gas CAD Inde|NIM|USA
^NQUSS7577GBPN|NQ US Sm Cap Water GBP NTR Inde|NIM|USA
^NQUSB8671GBPN|NQ US Bnchmk Ind & Office REITs|NIM|USA
SXXGNFU.Z|ESTX EX FIN USDGR|ZRH|Switzerland
^DWCFDR|Dow Jones U.S. Food & Drug Reta|DJI|USA
CECEHCA.VI|CECE HEALTH CARE|VIE|Austria
Q68.Z|ESTXTMOIE USD NR|ZRH|Switzerland
^SPCRU2BREEUSD|S&P; European Emerging Under USD|SNP|USA
^NQJPGBPN|NASDAQ Japan GBP NTR Index|NIM|USA
X22D.DE|INAVCORBONDHEDGEDJP|GER|Germany
^VAFJB|CBOE Apr 2015 S&P; Variance Futu|WCB|USA
OSE2520GI.OL|OSE2520 CON DUR APP|OSL|Norway
I1ED.DE|DAXSUBSEC.STEEL+O.M.TR|GER|Germany
^NYA|NYSE COMPOSITE (DJ)|NYS|USA
^NQIL2000T|NASDAQ Israel Inds TR Index|NIM|USA
^NQUSB0001|NQ US Bnchmk Oil & Gas Index|NIM|USA
4N61.DE|DAXSUB ALL FORE K|GER|Germany
^NQEMEA9000LMN|NASDAQ EMEA Tech Large Mid Cap |NIM|USA
14954401.SG|YORKPTPUI PR USD|STU|Germany
^NQNO0001LMNOKT|NASDAQ Norway Oil & Gas Lg Md C|NIM|USA
^MSPHUSDP|Morningstar Philippines Index P|SNP|USA
^NQUSB2795LMT|NQ US  Financial Admin Large Mi|NIM|USA
ELUF.L|FTSE E/N UK OFF|FSI|UK
S513Y.SW|SBI GVT-REL GOV Y|EBS|Austria
WIMAL5370.L|FTSE MALAY GR|FSI|UK
XEFS.DE|DAX+ MINVR JP EUR P|GER|Germany
IIUES.PA|ISHARES IUES INAV|PAR|France
^NQCI3PETR|NASDAQ Commodity 3rd Front Petr|NIM|USA
ACA5L.PA|ACA5L INDEX|PAR|France
C3722T.SW|SWX SB DURHHPROD TR|EBS|Austria
XBFOI.Z|STXEXUKTMSM USD NR|ZRH|Switzerland
^VINX7500NOKNI|VINX Utilities NOK NI|NIM|USA
I:BCOMKW2T|Dow Jones-UBS Kansas Wheat Subi|SNP|USA
^DJA|Dow Jones Composite Average|DJI|USA
^DJTFVSR|Dow Jones Financial Services Ti|DJI|USA
^NQMA8000LMGBP|NASDAQ Morocco Financials Lg Md|NIM|USA
ICPXJ.NX|CS(IE)MSCIPAC.INAV|ENX|Europe
WIXJAS1770.FGI|FTSE XJA-MINING|FGI|UK
X2H9.DE|INAV SUSCSSUE GBP|GER|Germany
WIBRA0530.FGI|FTSE BRA-OIL & GAS|FGI|UK
^NQUSB2357GBPN|NQ US Bnchmk Heavy Constr GBP N|NIM|USA
^NQUSB5371N|NQ US Bnchmk Apparel Rtlrs NTR |NIM|USA
^NQCI3PBER|NASDAQ Commodity 3rd Front Lead|NIM|USA
^NQDMASIA5300LMGBP|NASDAQ DM Asia Retail Large Mid|NIM|USA
XIN42720.L|FTSE China A 600 General Indust|LSE|UK
^NQUSS2791JPY|NQ US Sm Cap Bus Support Svcs J|NIM|USA
^NQEURO5300LMEURT|NASDAQ Eurozone Retail Large Mi|NIM|USA
^XTV|NORTH AMERICAN TELECOMMUNICATIO|NYS|USA
^NQKR3000GBP|NASDAQ Korea Cnsmr Goods GBP In|NIM|USA
^DWCIOF|Dow Jones U.S. Industrial & Off|DJI|USA
^BSJKM|NASDAQ BulletShares USD High Yi|NIM|USA
SXTRUPLV.Z|STXTR25% USD NR|ZRH|Switzerland
^NQUSS2799GBPN|NQ US Sm Cap Waste & Disposal S|NIM|USA
^XTLACE|UBS Bloomberg CMCI Hedged Alumi|WCB|USA
X223.DE|INAVISJPMOEMBCHFJPY|GER|Germany
^YHOH707|||
