Ticker|Name|Exchange|Country
FSMIU5.EX|FSMI SEP 15        |EUX|Germany
HKG16-C.SI|||
G5K.MDD|GENERA NOV 15      |MDD|
FBTSZ4.EX|FBTS DEC 14        |EUX|Germany
DVM9.AX|Peak Load Electricity Strips Vi|ASX|Australia
BCQ1527-C.BO|||
TAV1529-C.BO|||
APK15-C.SI|||
ITK1528-C.BO|||
S2SDZ6.EX|S2SD DEC 16        |EUX|Germany
R2:SANB4T.SA|SANTANDER BRPN|SAO|Brazil
UCG5I.MDD|UNICRE SEP 15      |MDD|
JGZ15-3.SI|JG future for December 2015, be|SES|Singapore
MOHGF6.EX|MOHG JAN 16        |EUX|Germany
PESFV15-2.SI|PESF future for October 2015, b|SES|Singapore
VRG1526-C.BO|||
KDBGX4.EX|KDBG NOV 14        |EUX|Germany
R2:CIQU4T.SA|CACIQUE     -PN|SAO|Brazil
BVZ9.AX|Base Load Electricity Futures V|ASX|Australia
FSTAZ5.EX|FSTA DEC 15        |EUX|Germany
FMWNH6.EX|FMWN MAR 16        |EUX|Germany
VCH5.AX|Eastern Australian Canola March|ASX|Australia
IDN1530-C.BO|||
FMEEZ5.EX|FMEE DEC 15        |EUX|Germany
STL6M.OL|STATOI JAN 16/N    |OSL|Norway
S9LFQ5.EX|S9LF AUG 15        |EUX|Germany
T58FX15-2.SI|T58F future for November 2015, |SES|Singapore
GVC8.AX|Base Load Quarterly $300 Cap El|ASX|Australia
HSZ6.AX|Base Load Electricity Strip Sou|ASX|Australia
OMXS306I.ST|OMXS30 SEP 16      |STO|Sweden
PESFV15-C.SI|||
AXAGV5.EX|AXAG OCT 15        |EUX|Germany
PNT7.AX|Peak Load Electricity New South|ASX|Australia
R2:FRIO3T.SA|METALFRIO   ON      NM|SAO|Brazil
FCA5J.MDD|FCA OCT 15         |MDD|
PCM1525-C.BO|||
R2:GOVE11T.SA|IT NOW IGCT CI|SAO|Brazil
INRFF6.EX|INRF JAN 16        |EUX|Germany
IDK1528-C.BO|||
PECFK16-C.SI|||
PPXGH6.EX|PPXG MAR 16        |EUX|Germany
MYK15-C.SI|||
OMF1628-C.BO|||
ISPR5H.MDD|ISPR AUG 15        |MDD|
R2:SLED3T.SA|SARAIVA LIVRON      N2|SAO|Brazil
FSTVU5.EX|FSTV SEP 15        |EUX|Germany
PLM1525-C.BO|||
DTEFJ6.EX|DTEF APR 16        |EUX|Germany
SMPFG6.EX|SMPF FEB 16        |EUX|Germany
E2ASZ5.EX|E2AS DEC 15/N      |EUX|Germany
T58FF18-C.SI|||
T58FH16-2.SI|T58F future for March 2016, bei|SES|Singapore
CMV1529-C.BO|||
C1CGH6.EX|C1CG MAR 16        |EUX|Germany
M58FZ17-3.SI|M58F future for December 2017, |SES|Singapore
LPFV16-3.SI|LPF future for October 2016, be|SES|Singapore
R2:GEPA3T.SA|GER PARANAP ON  EJ|SAO|Brazil
USL6.AX|Australian Sorghum July 2016 (n|ASX|Australia
CH1526-C.BO|||
IBSQ5.AX|30 Day Interbank Cash Rate Futu|ASX|Australia
