Ticker|Name|Exchange|Country
27503574.IR|PSA 2009/15/B/CS/RE|ISE|UK
JMGOVSECMNDI.BO|JM Gov Sec Mn Div|BSE|India
MIGFX|MFS Massachusetts Investors Gr Stk A|NAS|USA
NWWCX|Nationwide Bailard Emg Mkts Eq Instl|NAS|USA
PFDCX|PNC Bond C|NAS|USA
IVWAX|IVA Worldwide A|NAS|USA
PLLYX|Pacific Funds Limited Dur High Inc Adv|NAS|USA
ACMTX|AB All Market Real Return C|NAS|USA
IE00BYYR0D71.IR|Vanguard Glbl Lqudty Fact UCITS ETF $Acc|ISE|UK
GB0033514828.L|Henderson Instl UK Enhanced Equity Z|LSE|UK
28549686.IR|NB HY BOND EUR-I2-|ISE|UK
F00000T337.TO|Quadrus Canadian Value Class (Sionna) L8|TOR|Canada
OTCAX|MFS Mid Cap Growth A|NAS|USA
3760521.IR|BAR EURO USD-C-INC|ISE|UK
IT0001083226.MI|Gestielle Obiettivo Europa|MIL|Italy
GCREX|Griffin Institutional Access Re|NAS|USA
BMNCX|UBS Equity Long-Short Multi-Strategy C|NAS|USA
KR5233AA5008.KS|Consus Smart Chance PF Bond Balanced 1|KSC|Korea
VSCRX|Virtus Small-Cap Core R6|NAS|USA
MSGZX|MassMutual Select Small Cap Gr Eq I|NAS|USA
F0CAN05MXZ.TO|Standard Life Ideal US Eq Val NL|TOR|Canada
PARYX|Putnam Absolute Return 100 Y|NAS|USA
HCPBX|HC Inflation Protected Secs HC Strat|NAS|USA
PRRYX|Putnam RetirementReady 2035 Y|NAS|USA
ARTGX|Artisan Global Value Investor|NAS|USA
1268298.IR|SEI UK EQU EUR INSB|ISE|UK
TDPYX|AB Multi-Manager Select 2055 Advisor|NAS|USA
ZEMPLENINVES.BC|Zemplen Investment SICAV|BAR|
RITFX|American Funds American High-Inc R5|NAS|USA
XP65.BE|JSS IN QPG EUR PD|BER|Germany
K55235B39858.KS|FK Glbl Population Theme Fdr Eq-FoF SPRS|KSC|Korea
ZMC3.HM|SEBF2 RUSSIA CC|HAM|Germany
MXITX|Great-West Moderate Profile II Instl|NAS|USA
RBECX|RBC BlueBay Emerging Market Corp Bd I|NAS|USA
XP67.SG|JSS IN SPB EUR PD|STU|Germany
IYOPX|Invesco Global Opportunities Y|NAS|USA
12422044.IR|GAM ST CRDT OPP CHF|ISE|UK
SSILX|SSgA International Stock Selection A|NAS|USA
QZG1.HM|B&P; VIS Q-SEL.SWITZ|HAM|Germany
EIIUX|First Investors Tax Exempt Opps B|NAS|USA
KR5216A90107.KS|Dongbu Pension Fund MMF PF 14|KSC|Korea
FPACX|FPA Crescent|NAS|USA
PESPX|Dreyfus MidCap Index|NAS|USA
GB00B7K69S70.L|Schroder MM Diversity Balanced Z Acc|LSE|UK
CMSWX|Columbia Large Cap Growth V W|NAS|USA
LFEAX|MFS Lifetime 2035 A|NAS|USA
GB0030274152.L|McInroy & Wood Smaller Companies|LSE|UK
PFGPX|Pacific Financial Explorer I|NAS|USA
JTCAX|JHancock Technical Opportunities A|NAS|USA
CRITERIONUTI.TO|First Asset Utility Plus A Ccy Hdg|TOR|Canada
FRT0020AU.AX|Franklin Templeton Australian Equity W|ASX|Australia
SCOTCMTF.MX|SCOT-CM TF|MEX|Mexico
IXE1A.MX|IXE ESTRATEGIA1-A|MEX|Mexico
29208195.IR|NEW CAP ALL USD-X-|ISE|UK
NAESX|Vanguard Small Cap Index Inv|NAS|USA
S3072.MC|YACARETE|MCE|Spain
XR5Y.MU|SISF GL SM AC|MUN|Germany
SMECX|Invesco Small Cap Equity C|NAS|USA
PJFZX|Prudential Jennison Growth Z|NAS|USA
TECCX|American Funds Tax-Exempt CA C|NAS|USA
MMMPX|Morgan Stanley Inst Emerging Mkts IS|NAS|USA
KR5307AW6522.KS|Yurie Smart PF Equity Balanced W5|KSC|Korea
JDMNX|Janus Enterprise N|NAS|USA
KR5102200015.KS|UBSHana Korea No.1 Equity C1|KSC|Korea
VETAX|Victory Sycamore Established Value A|NAS|USA
MZRK.SW|M&G; OPT EUR-A-H-AC|EBS|Austria
OGUCX|JPMorgan Limited Duration Bd C|NAS|USA
KR5307AM5922.KS|Yurie RealStar AutoCall PF ELS-Deriv 344|KSC|Korea
FLCEX|Fidelity Large Cap Core Enhanced Index|NAS|USA
INGCSX|Next Generation Cybersecurity P|NAS|USA
SCOTIA2F3.MX|SCOTIA RENDIMIEN-F3|MEX|Mexico
NBSMX|Neuberger Berman Small Cap Growth Instl|NAS|USA
4285.AX|BT PPSI-BT WS Active Bal|ASX|Australia
KR5225812233.KS|MiraeAsset ASEAN Select Q Feeder Eq 1 I|KSC|Korea
IE00BBPJDS76.IR|Invesco Sterling Bond Z GBP Acc|ISE|UK
ATWCX|AB Tax-Managed Wealth Apprec Strat C|NAS|USA
CAIFX|American Funds Capital Income Bldr F2|NAS|USA
IE00BBJPFN04.IR|Hermes Global High Yield Bond F £ Hg Acc|ISE|UK
SRTMX|SMA Relationship Trust Series M|NAS|USA
VKQTHX|Quality Municipals Income Trust|NAS|USA
F00000T2MN.TO|CI Marret High Yield Bond O|TOR|Canada
F7R8.DU|FR TI GL H YLD AC|DUS|Germany
681684.IR|THREAD INDIA FD|ISE|UK
TBFIX|Thrivent Government Bond Institutional|NAS|USA
AAGAX|American Beacon Lg Cap Value AMR|NAS|USA
1790263.IR|YUK JAP LOW PRI JPY|ISE|UK
SMCAX|Deutsche Mid Cap Growth A|NAS|USA
NORTHGUARDIA.AX|North Guardian Growth|ASX|Australia
F00000P2ON.TO|RBC QUBE Low Volatility US Eq Ser D|TOR|Canada
XUO1.DU|CAN BD EUR LG CC|DUS|Germany
VUIAX|Vanguard Utilities Index Adm|NAS|USA
29151332.IR|QUANTICA CAP USD|ISE|UK
ANQCX|Ancora Equity C|NAS|USA
PDVAX|PIMCO Diversified Inc A|NAS|USA
KR5223100748.KS|KB JE Power Short-term Bond 13|KSC|Korea
25545882.IR|POL UK EQU EUR-R-|ISE|UK
GTISX|Nationwide Inst Service|NAS|USA
25465536.SW|ZH AST PRIVEQII|EBS|Austria
URTBX|JPMorgan Realty Income B|NAS|USA
3SP2.HM|STARCAP WIN PL AD|HAM|Germany
1005064.MC|ZUBIRENT INVESTMENT|MCE|Spain
IJSTX|VY JPMorgan Small Cap Core Equity S2|NAS|USA
KR5205AN7847.KS|KDB Korea HK Index Linked PF ELS-Deriv 3|KSC|Korea
IDXLX|Voya Index Solution 2040 Port I|NAS|USA
NDVAX|MFS New Discovery Value A|NAS|USA
HK0000080280.HK|Invesco RMB Opportunities A USD|HKG|Hong Kong
GB00B87YNP63.L|JPM Fusion Growth B Acc|LSE|UK
XXINTEBB2C2.MX|XXINTEB B2C2|MEX|Mexico
MHYCX|MainStay Global High Income C|NAS|USA
QUAESTORINVE.BC|Quaestor Investments SICAV|BAR|
OEICX|JPMorgan Equity Index C|NAS|USA
PRDIX|Principal Real Estate Debt Income Instl|NAS|USA
PPARX|Principal Preferred Securities R5|NAS|USA
24851665.IR|NB US SMAL ZAR-E-AC|ISE|UK
FBIDX|Fidelity Spartan US Bond Idx Investor|NAS|USA
K55216B59914.KS|Dongbu 2Index PF ELS-Derivatives 129|KSC|Korea
JHGEX|JHancock Global Equity A|NAS|USA
