Ticker|Name|Exchange|V4
EUR-MOP.F|EUR/MOP|FRA|NA
AFN=X|USD/AFN|CCY|NA
AUDTND=X|AUD/TND|CCY|NA
AOAGBP=X|AOA/GBP|CCY|NA
MXNJPY=X|MXN/JPY|CCY|NA
UAHCZK=X|UAH/CZK|CCY|NA
GBPAUD=X|GBP/AUD|CCY|NA
GBPXOF=X|GBP/XOF|CCY|NA
UAHEUR=X|UAH/EUR|CCY|NA
PLNBND=X|PLN/BND|CCY|NA
BDTEUR=X|BDT/EUR|CCY|NA
PKRQAR=X|PKR/QAR|CCY|NA
IDRHUF=X|IDR/HUF|CCY|NA
CADGEL=X|CAD/GEL|CCY|NA
SGDTWD=X|SGD/TWD|CCY|NA
LTLHUF=X|LTL/HUF|CCY|NA
GBPTJS=X|GBP/TJS|CCY|NA
MXNRUB=X|MXN/RUB|CCY|NA
EUR-NZD.F|EUR/NZD|FRA|NA
TRYJOD=X|TRY/JOD|CCY|NA
ILSISK=X|ILS/ISK|CCY|NA
ISKTRY=X|ISK/TRY|CCY|NA
TRYCZK=X|TRY/CZK|CCY|NA
LVLZAR=X|LVL/ZAR|CCY|NA
DKKNOK=X|DKK/NOK|CCY|NA
CZKARS=X|CZK/ARS|CCY|NA
DJFCHF=X|DJF/CHF|CCY|NA
PLNSAR=X|PLN/SAR|CCY|NA
MYRAUD=X|MYR/AUD|CCY|NA
UGXMUR=X|UGX/MUR|CCY|NA
CHFTTD=X|CHF/TTD|CCY|NA
NPRGBP=X|NPR/GBP|CCY|NA
MXNMUR=X|MXN/MUR|CCY|NA
MADNOK=X|MAD/NOK|CCY|NA
SGDUYU=X|SGD/UYU|CCY|NA
TRYUSD=X|TRY/USD|CCY|NA
TRYMXN=X|TRY/MXN|CCY|NA
CHFLSL=X|CHF/LSL|CCY|NA
INRCAD=X|INR/CAD|CCY|NA
KWDCHF=X|KWD/CHF|CCY|NA
CZKTHB=X|CZK/THB|CCY|NA
CHFKRW=X|CHF/KRW|CCY|NA
TWDEUR=X|TWD/EUR|CCY|NA
INRXDR=X|INR/XDR|CCY|NA
MUREUR=X|MUR/EUR|CCY|NA
CHFMNT=X|CHF/MNT|CCY|NA
DKKUSD=X|DKK/USD|CCY|NA
EURILS=X|EUR/ILS|CCY|NA
19754110.SW|GOLD 999.9/1000    |EBS|NA
RONKWD=X|RON/KWD|CCY|NA
BWPPGK=X|BWP/PGK|CCY|NA
CNHHKD=X|CNH/HKD|CCY|NA
RUBOMR=X|RUB/OMR|CCY|NA
CADZMW=X|CAD/ZMW|CCY|NA
CVEUSD=X|CVE/USD|CCY|NA
LAK=X|USD/LAK|CCY|NA
QARPHP=X|QAR/PHP|CCY|NA
29134365=X|UYU/MXN|CCY|NA
JODDKK=X|JOD/DKK|CCY|NA
MXNLVL=X|MXN/LVL|CCY|NA
MYRMAD=X|MYR/MAD|CCY|NA
THBPLN=X|THB/PLN|CCY|NA
PHPLVL=X|PHP/LVL|CCY|NA
ZARJOD=X|ZAR/JOD|CCY|NA
GTQGBP=X|GTQ/GBP|CCY|NA
CADLKR=X|CAD/LKR|CCY|NA
JPYMMK=X|JPY/MMK|CCY|NA
GBPAED=X|GBP/AED|CCY|NA
IDEPY.MDD|ELECTR. PEAKLOAD Y|MDD|NA
EUR-BZD.F|EUR/BZD|FRA|NA
GTQCHF=X|GTQ/CHF|CCY|NA
HUFRSD=X|HUF/RSD|CCY|NA
BWPILS=X|BWP/ILS|CCY|NA
BGNTHB=X|BGN/THB|CCY|NA
CHFMYR=X|CHF/MYR|CCY|NA
TRYHUF=X|TRY/HUF|CCY|NA
AZNEUR=X|AZN/EUR|CCY|NA
HKDPEN=X|HKD/PEN|CCY|NA
CRC=X|USD/CRC|CCY|NA
AUDSGD=X|AUD/SGD|CCY|NA
NZDQAR=X|NZD/QAR|CCY|NA
EUR-CLP.F|EUR/CLP|FRA|NA
HU10.EX|STURM USA 20BN 10|EUX|NA
29134369=X|VEF/CLP|CCY|NA
LTLMAD=X|LTL/MAD|CCY|NA
GBPGNF=X|GBP/GNF|CCY|NA
THBTRY=X|THB/TRY|CCY|NA
EURCADFIX=X|EUR/CAD FIXING|CCY|NA
MADPHP=X|MAD/PHP|CCY|NA
EURIDR=X|EUR/IDR|CCY|NA
LVLHUF=X|LVL/HUF|CCY|NA
CADCOP=X|CAD/COP|CCY|NA
HRKPLN=X|HRK/PLN|CCY|NA
BSDDKK=X|BSD/DKK|CCY|NA
MXNPYG=X|MXN/PYG|CCY|NA
EURSTD=X|EUR/STD|CCY|NA
CLPBRL=X|CLP/BRL|CCY|NA
ZARXDR=X|ZAR/XDR|CCY|NA
EURNOKFIX=X|EUR/NOK FIXING|CCY|NA
TRYKES=X|TRY/KES|CCY|NA
THBNOK=X|THB/NOK|CCY|NA
EUR-CHF.F|EUR/CHF|FRA|NA
KZTLTL=X|KZT/LTL FIXING|CCY|NA
EUR-PYG.F|EUR/PYG|FRA|NA
RSDCHF=X|RSD/CHF|CCY|NA
NZDHUF=X|NZD/HUF|CCY|NA
ILSMUR=X|ILS/MUR|CCY|NA
SGDTRY=X|SGD/TRY|CCY|NA
SBD=X|USD/SBD|CCY|NA
CHFSLL=X|CHF/SLL|CCY|NA
ISKINR=X|ISK/INR|CCY|NA
TRYKRW=X|TRY/KRW|CCY|NA
CHFBAM=X|CHF/BAM|CCY|NA
GELEUR=X|GEL/EUR|CCY|NA
XCDCHF=X|XCD/CHF|CCY|NA
HKDCNY=X|HKD/CNY|CCY|NA
EURHKD=X|EUR/HKD|CCY|NA
HRKUAH=X|HRK/UAH|CCY|NA
19838326.SW|SILBER 999/1000|EBS|NA
MKDJPY=X|MKD/JPY|CCY|NA
QARNZD=X|QAR/NZD|CCY|NA
NOKMAD=X|NOK/MAD|CCY|NA
ALLGBP=X|ALL/GBP|CCY|NA
LTLSGD=X|LTL/SGD|CCY|NA
EURKYD=X|EUR/KYD|CCY|NA
KESZAR=X|KES/ZAR|CCY|NA
SGDBHD=X|SGD/BHD|CCY|NA
CADBWP=X|CAD/BWP|CCY|NA
